524289	2306608	1.386294
524289	1604388	1.386294
524289	1987311	1.386294
917507	969488	1.386294
1048583	1171025	1.386294
1048583	1233135	1.386294
1048583	1500897	1.386294
786448	936505	1.609438
786448	1892801	1.609438
786448	944213	1.609438
786448	1718183	1.609438
3	1443427	1.386294
3	2112395	1.386294
3	571838	1.386294
524310	622801	1.386294
524310	1545051	1.098612
524310	1520511	1.386294
524310	2683359	1.098612
261872	372313	1.386294
261872	2668649	1.386294
261872	1222185	1.386294
131106	616488	1.386294
131106	1459522	1.386294
131106	1736843	1.386294
131106	2129351	0.693147
1310758	2295417	1.098612
1703976	2148469	1.386294
1966124	2145817	1.386294
393262	1558321	1.386294
393262	1535450	1.386294
393262	1666948	1.386294
1835060	1912613	1.386294
1835060	2342975	1.386294
1835065	1983063	1.386294
131130	1409896	1.386294
131130	161382	1.386294
1572924	2273893	1.098612
1966143	2267849	1.386294
2228290	2276698	0.804719
524355	1582032	1.386294
524355	2099368	1.386294
393286	1787922	1.386294
393286	1169935	1.386294
393286	914311	1.386294
1572937	2346971	0.612900
1966156	2192156	1.386294
1441873	1908370	1.386294
1441873	2101546	1.098612
1441873	1765543	1.386294
131155	1987600	1.609438
131155	1304556	1.609438
131155	2690469	1.609438
131155	2301719	1.609438
1966166	2476749	1.386294
1835097	2428367	1.386294
131164	676712	1.386294
131164	1497067	1.386294
131164	1156911	1.386294
131164	1568978	1.386294
131164	2443509	1.386294
131164	1900694	1.386294
393310	609769	1.098612
393310	406419	1.098612
131168	1372609	1.386294
131168	1585707	1.386294
131168	1432889	1.386294
2009787	2339480	1.386294
2009787	2307409	1.386294
655467	2111800	1.386294
655467	1379332	1.386294
1966195	2055177	2.772589
1966195	2037010	2.772589
1966195	2242899	2.772589
917632	1930081	1.386294
917632	1614018	1.386294
917632	1407111	1.386294
917632	2312433	1.386294
917632	1444850	1.386294
917632	1498675	1.386294
917632	1202932	1.386294
917632	988056	1.386294
917632	1563130	1.386294
917632	2405275	1.386294
1572999	1801250	1.386294
1048714	1494418	1.386294
1835147	2269890	1.386294
1573007	2220184	1.386294
1573007	1635387	1.098612
1573007	1762804	1.386294
1573007	1930213	1.386294
1573007	2210895	1.098612
524432	1506690	1.386294
524432	900604	1.386294
917653	1748497	1.386294
917653	1485460	1.386294
917653	1376021	1.386294
917657	2405416	1.386294
917657	1413798	1.386294
917657	1022774	1.386294
917657	1820726	1.386294
917657	1168591	1.386294
1966236	2050883	1.609438
1966236	2200517	1.386294
1966236	2181630	1.609438
917682	1618658	1.386294
917682	1276611	1.386294
917682	1464105	1.386294
917682	2159084	1.386294
917682	1135692	1.386294
917682	1943953	1.386294
917682	1944052	1.609438
917682	1121398	1.386294
917682	1422711	1.386294
917682	1207224	1.609438
917682	2339988	1.609438
917682	941612	1.386294
393396	532803	1.386294
393396	1794791	1.386294
